Column-0,#,Name,Price,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days,Column-10
,1,"Bitcoin

BTC

Buy","$59,786.88",2.40%,3.76%,"$1,116,479,627,569","$55,569,344,445

929,457 BTC","18,674,325 BTC",,
,2,"Ethereum

ETH

Buy","$2,134.22",1.84%,18.94%,"$246,172,899,572","$27,556,650,897

12,911,832 ETH","115,345,774 ETH",,
,3,"Binance Coin

BNB

Buy",$375.00,8.24%,37.76%,"$57,950,296,436","$4,191,516,712

11,177,281 BNB","154,532,785 BNB",,
,4,"Tether

USDT

Buy",$0.9999,0.27%,0.03%,"$42,376,419,891","$118,851,264,306

118,860,612,110 USDT","42,379,752,850 USDT",,
,5,"Polkadot

DOT",$44.30,0.19%,29.78%,"$41,022,045,751","$2,678,665,603

60,461,905 DOT","925,935,302 DOT",,
,6,"Cardano

ADA",$1.23,3.34%,2.07%,"$39,161,830,638","$2,718,213,408

2,217,524,607 ADA","31,948,309,441 ADA",,
,7,"XRP

XRP",$0.8504,39.47%,52.40%,"$38,610,324,923","$18,240,809,196

21,450,382,114 XRP","45,404,028,640 XRP",,
,8,"Uniswap

UNI",$30.88,1.08%,7.75%,"$16,123,005,063","$512,005,910

16,580,268 UNI","522,110,657 UNI",,
,9,"Litecoin

LTC",$214.39,5.62%,10.55%,"$14,310,994,112","$3,561,418,827

16,611,935 LTC","66,752,415 LTC",,
,10,"Chainlink

LINK",$32.33,2.83%,15.80%,"$13,498,169,028","$1,249,975,398

38,662,775 LINK","417,509,556 LINK",,
,11,"Stellar

XLM",$0.518,19.10%,27.98%,"$11,782,200,275","$3,232,910,465

6,241,173,094 XLM","22,745,681,371 XLM",,
,12,"THETA

THETA",$11.83,0.99%,10.86%,"$11,831,177,402","$302,666,077

25,582,076 THETA","1,000,000,000 THETA",,
,13,"Bitcoin Cash

BCH",$631.85,13.00%,21.46%,"$11,815,453,106","$4,351,302,657

6,886,575 BCH","18,699,688 BCH",,
,14,"Filecoin

FIL",$177.91,0.30%,39.77%,"$11,464,063,466","$2,814,523,931

15,819,749 FIL","64,436,691 FIL",,
,,USD CoinUSDC,$1.00,,,,,,,
,,TRONTRX,$0.14,,,,,,,
,,KlaytnKLAY,$3.52,,,,,,,
,,Wrapped BitcoinWBTC,$59155.24,,,,,,,
,,BitTorrentBTT,$0.01,,,,,,,
,,DogecoinDOGE,$0.06,,,,,,,
